MZ	ID	RT	Area
445.21	1	11.32	10329773
362.151	2	9.61	6054647
702.291	3	15.97	7467068
716.308	4	16.82	7738895
507.224	5	13.98	4681022
660.282	6	15.58	4291758
326.303	7	19.16	3012247
401.084	8	7.39	5417323
362.151	9	13.17	3488397
727.276	10	16.92	4062026
441.372	11	20.56	2943048
674.297	12	16.67	2921899
348.133	13	11.04	2770108
403.201	14	8.93	2391962
279.158	15	16.48	2351424
281.246	16	15.3	1681637
637.328	17	18.26	1536136
313.106	18	9.21	1771185
695.335	19	19.03	1604791
299.257	20	15.3	1391017
277.07	21	8.44	1572552
457.366	22	18.63	2975538
654.292	23	13.96	2458421
420.156	24	13.77	1427479
711.281	25	19.2	1197967
673.303	26	16.84	1204657
443.388	27	19.2	1894589
640.274	28	12.62	1716806
391.285	29	25.47	732296
695.261	30	11.04	494294
471.383	31	23.54	725235
339.325	32	23.1	802489
344.183	33	7.44	865297
425.378	34	19.2	1378639
344.183	35	4.53	959980
295.227	36	14.37	800219
731.312	37	17.28	720173
369.263	38	12.47	713941
745.285	39	15.77	649555
360.136	40	13.77	719172
373.128	41	8.05	667841
619.366	42	16.01	552472
609.268	43	20.82	544747
662.298	44	16.16	631765
283.097	45	9.06	607108
313.238	46	9.44	727434
729.294	47	18.75	547433
581.218	48	14.71	1450232
327.218	49	9.12	660361
330.169	50	6.3	507654
831.306	51	18.37	480940
377.237	52	17.99	467082
612.284	53	13.19	936784
727.276	54	18.18	501788
659.29	55	14.37	412298
598.268	56	11.91	459518
443.352	57	13.3	375339
472.378	58	20.63	465413
417.08	59	4.23	419685
593.277	60	21.46	274257
269.211	61	13.11	455351
654.4	62	17.18	393961
359.156	63	12.87	406306
287.129	64	8.4	381918
709.265	65	18.18	337208
623.313	66	15.54	375567
301.18	67	14.51	324692
792.338	68	11.04	425753
1161.428	69	15.13	375077
489.248	70	17.26	312609
475.233	71	16.05	346679
676.31	72	17.48	334096
300.29	73	18.46	358323
295.227	74	15.94	1215326
455.352	75	20.63	858339
287.089	76	16.62	369831
729.294	77	18.33	324137
717.31	78	12.85	285105
287.129	79	5.8	340415
427.356	80	21.33	315055
318.301	81	10.1	277042
801.164	82	7.39	184221
313.238	83	14.37	352323
326.174	84	9.57	289185
459.383	85	20.56	326673
637.375	86	14.51	454494
1035.432	87	14	265997
365.123	88	5.93	237815
255.103	89	7.84	301436
335.222	90	4.81	242583
457.366	91	21.71	583924
441.372	92	23.76	265203
423.362	93	18.86	442642
313.238	94	10.17	316512
655.337	95	10.89	242681
673.303	96	12.34	232306
314.305	97	19.69	249473
255.232	98	14.17	213693
598.268	99	12.62	201340
659.354	100	17.18	314676
637.328	101	12.68	230031
707.307	102	17.09	223224
609.268	103	19.9	209893
441.372	104	24.18	244061
557.196	105	19.33	184106
413.268	106	25.49	186250
431.244	107	19.6	214462
887.199	108	7.39	140574
289.141	109	8.91	174301
298.274	110	16.05	181530
282.279	111	21.05	191996
625.267	112	20.29	171042
343.117	113	9.63	197115
724.311	114	17.31	184441
622.415	115	12.38	154529
343.117	116	7.65	194295
1161.428	117	14.71	165068
433.222	118	9.63	197975
387.07	119	7.03	570978
343.248	120	11.21	141411
324.289	121	17.05	156384
263.055	122	11.62	169410
849.315	123	17.97	180388
579.294	124	16.48	193267
457.366	125	20.48	417636
277.215	126	14.34	203266
475.377	127	10.66	412778
387.106	128	5.19	152924
297.184	129	13.58	157276
471.383	130	19.95	184901
619.397	131	15.82	191725
273.148	132	9.18	137966
410.305	133	5.93	192574
463.379	134	22.97	151285
467.195	135	11.34	418122
423.362	136	20.46	288732
861.289	137	13.77	128110
315.123	138	8.89	127827
401.163	139	13.77	183466
297.184	140	14.51	135654
297.243	141	16.99	373532
437.378	142	18.48	154758
369.059	143	7.39	115626
762.311	144	15.39	134456
245.138	145	2.67	163123
745.285	146	16.73	136014
612.284	147	12.11	167910
402.192	148	8.33	136590
341.269	149	19.31	113452
713.343	150	12.23	116762
473.363	151	19.33	149265
581.218	152	16.54	137307
443.388	153	18.69	229506
527.337	154	21.58	326549
718.289	155	12.98	175929
336.326	156	24.42	102643
455.385	157	22.39	142287
323.295	158	17.5	135289
417.224	159	18.56	140294
463.379	160	23.59	224146
301.143	161	8.84	131528
745.285	162	17.35	130263
431.207	163	19.2	180500
413.268	164	14.51	104862
662.298	165	12.98	136718
297.184	166	12.23	97671
718.314	167	17.71	64812
358.369	168	13.92	165761
331.284	169	20.63	144518
439.357	170	15.9	539590
240.986	171	0.76	104607
742.549	172	23.8	123628
279.23	173	14.62	109034
