row ID;row m/z;row retention time;row identity (all IDs);LN-380.mzXML Peak area;
1;277.07342529296875;6.993816666666667;C14H12O6;1.0591346517672427E7;
2;330.3043212890625;8.3907;;5441914.740363617;
3;263.0572204589844;8.58095;;5968243.18506232;
4;362.15447998046875;7.7971;;4875284.91816358;
5;396.80499267578125;4.457066666666666;;4853913.6514611775;
6;326.3077697753906;12.132383333333333;C20H39NO2;3700041.447247134;
7;375.2001953125;8.559816666666668;C13H30N2O10;2797185.2164535807;
8;348.13751220703125;8.432983333333333;;2577748.963443258;
9;330.17108154296875;6.169383333333333;C19H23NO4;2708039.4081980563;
10;362.15447998046875;9.426516666666666;;2353714.2877408024;
11;344.1868591308594;6.782416666666666;C20H25NO4;2300063.8546763933;
12;727.2781982421875;11.0754;C47H38N2O6 - C41H42O12 - C34H46O17 - C29H46N2O19;2478923.4293828304;
13;318.30145263671875;7.839383333333333;;1858678.6217358278;
14;344.1868591308594;5.323816666666667;C20H25NO4;2036506.449956547;
15;453.345703125;4.6261833333333335;;2117843.443974297;
16;792.5985717773438;4.457066666666666;;1569857.7292756934;
17;659.3565673828125;10.039566666666667;C35H50N2O10 - C28H54N2O15;1623856.1829228606;
18;814.58056640625;4.457066666666666;;2839119.784198727;
19;295.2276611328125;10.420066666666665;C18H30O3;1239202.3503867127;
20;477.33685302734375;12.576316666666665;C32H44O3 - C27H44N2O5;1411851.4548181072;
21;298.2746276855469;10.821716666666667;;1031886.7531464957;
22;931.6851196289062;12.576316666666665;;921937.2490477315;
23;701.4956665039062;4.245683333333334;;1623405.5999971917;
24;365.12408447265625;5.958;C18H20O8;1074875.9016196309;
25;326.1756591796875;7.818233333333334;C20H23NO3;1134427.7854650817;
26;295.2276611328125;10.272083333333335;C18H30O3;1509446.3079199195;
27;397.1817321777344;8.58095;C15H28N2O10;1047399.8920158553;
28;340.26080322265625;4.245683333333334;;991273.6444906016;
29;425.2162170410156;11.878716666666666;C22H32O8 - C17H32N2O10;1073690.3019750784;
30;472.3974304199219;8.876900000000001;C27H53NO5;912570.418176508;
31;287.1280822753906;7.0572333333333335;C17H18O4;978634.4267028205;
32;659.3565673828125;11.244516666666668;C40H50O8 - C35H50N2O10 - C28H54N2O15;1075829.5744294338;
33;749.2589721679688;11.646183333333333;C49H36N2O6 - C43H40O12 - C38H40N2O14 - C36H44O17 - C31H44N2O19 - C25H48O25;971974.2502928043;
34;679.5136108398438;4.245683333333334;;792536.2558380134;
35;641.3471069335938;10.631466666666666;C35H48N2O9 - C33H52O12 - C28H52N2O14;995046.3873915961;
36;501.3572082519531;12.851133333333333;C26H48N2O7;578680.5449826715;
37;619.3648071289062;10.631466666666666;C38H50O7 - C33H50N2O9 - C31H54O12 - C26H54N2O14;758389.8219077095;
38;324.2901611328125;11.244516666666668;C20H37NO2;776118.7096617328;
39;301.2171936035156;8.327283333333334;C20H28O2;870801.7546265835;
40;871.5730590820312;19.575166666666668;;1385270.304358199;
41;526.5214233398438;13.400766666666668;;1023177.0852730069;
42;279.2325134277344;9.997283333333334;C18H30O2;859404.0743158028;
43;317.20953369140625;10.272083333333335;C15H28N2O5;763374.7317960189;
44;317.20953369140625;10.4412;C15H28N2O5;740048.6237265607;
