row ID;row m/z;row retention time;Formula M+H;Formula M+Na;39-1.mzXML Peak area;39-2.mzXML Peak area;39-3.mzXML Peak area;39-4.mzXML Peak area;39-5.mzXML Peak area;39-6.mzXML Peak area
1;474.2491048;16.66;C26H35NO7 - C21H35N3O9;C24H37NO7;5754979;1094860;604290;589075;381139;205126
2;447.2738902;21.73;C27H34N4O2 - C26H38O6 - C21H38N2O8;C25H36N4O2 - C24H40O6;6085699;1720991;1250551;1044355;724073;465537
3;333.2057546;21.72;C20H28O4 - C15H28N2O6;C18H30O4;5311610;1427841;998302;854433;609530;368173
4;333.2057546;20;C20H28O4 - C15H28N2O6;C18H30O4;4517014;982197;636993;615545;428236;263995
5;279.1590424;16.49;;;3738941;1013856;606202;487774;385865;184303
6;545.2719218;19.99;C31H36N4O5 - C30H40O9 - C25H40N2O11;C29H38N4O5 - C28H42O9 - C23H42N2O11;5020940;1753970;1213999;1255452;980525;727278
7;487.2664541;21.74;C29H34N4O3 - C28H38O7 - C23H38N2O9;C27H36N4O3 - C26H40O7 - C21H40N2O9;4119623;1355488;1006692;843830;649615;471153
8;540.3167114;20;C34H41N3O3 - C28H45NO9;C32H43N3O3 - C26H47NO9;3685374;1512615;1090204;1072002;952835;682651
9;621.3076782;24.66;C37H40N4O5 - C30H44N4O10 - C31H44N2O11 - C29H48O14 - C24H48N2O16;C35H42N4O5 - C28H46N4O10 - C27H50O14;1097784;4529404;3074381;5180010;4696055;4401861
10;315.1951497;19.98;C20H26O3 - C15H26N2O5;C18H28O3;1321473;303533;214684;193166;153582;93557
11;315.1951497;21.72;C20H26O3 - C15H26N2O5;C18H28O3;1230894;351217;248440;200730;158364;92718
12;579.2932536;16.48;C22H46N2O15;;967698;274256;166747;116087;73982;74632
13;545.271581;19.61;C31H36N4O5 - C30H40O9 - C25H40N2O11 - C20H40N4O13;C29H38N4O5 - C28H42O9 - C23H42N2O11;760340;47443;24395;6609;7222;35952
14;505.2795715;19.99;C29H36N4O4 - C28H40O8 - C23H40N2O10;C32H38N2O2 - C27H38N4O4 - C26H42O8;708559;170638;111549;108954;79176;47997
15;301.1410268;16.47;C13H20N2O6;;918232;445770;305128;254351;220914;93988
16;487.2664541;19.5;C29H34N4O3 - C28H38O7 - C23H38N2O9;C27H36N4O3 - C26H40O7 - C21H40N2O9;748228;243417;155190;125250;86175;39559
17;568.4278971;24.55;C38H53N3O - C31H57N3O6;C36H55N3O - C29H59N3O6;844638;1395603;1387350;1107397;893991;583506
18;540.3167114;17.69;C28H45NO9 - C23H45N3O11;C32H43N3O3 - C26H47NO9;575290;196776;134838;107100;85089;39116
19;482.3116455;21.72;C26H43NO7;C24H45NO7;798863;299631;248645;203226;150271;125845
20;447.2735291;14.5;C27H34N4O2 - C26H38O6 - C21H38N2O8;C25H36N4O2 - C24H40O6;432121;201525;179947;67533;28605;19469
21;333.2056402;20.57;C21H24N4 - C20H28O4 - C15H28N2O6;C19H26N4 - C18H30O4;465580;79448;65058;64601;31258;26122
22;326.3051147;19.13;C20H39NO2;;398458;138194;88473;76720;66302;38640
23;445.2578837;20.29;C27H32N4O2 - C26H36O6;C25H34N4O2 - C24H38O6;570656;110550;94437;60742;40336;16085
24;621.3078359;25.01;C42H40N2O3 - C37H40N4O5 - C36H44O9 - C30H44N4O10 - C29H48O14 - C24H48N2O16;C45H42O - C40H42N2O3 - C35H42N4O5 - C34H46O9 - C28H46N4O10 - C27H50O14;273364;1596985;1014329;1747923;1368084;1255450
25;279.231842;19.44;C18H30O2;C16H32O2;504195;264382;168064;134850;119596;79605
26;333.2054189;13.06;C21H24N4 - C20H28O4 - C15H28N2O6;C19H26N4 - C18H30O4;319781;161635;130761;59744;25570;19767
27;473.2510198;20.57;C28H32N4O3 - C27H36O7 - C22H36N2O9;C26H34N4O3 - C25H38O7 - C20H38N2O9;392722;112034;67422;69515;54026;32495
28;429.2633565;19.51;C27H32N4O - C26H36O5;C25H34N4O - C24H38O5;380445;114092;86069;72524;46245;20249
29;333.205719;14.5;C21H24N4 - C20H28O4 - C15H28N2O6;C19H26N4 - C18H30O4;312324;151222;133555;48412;27226;17934
30;397.2366282;12.17;C25H32O4 - C20H32N2O6;C23H34O4;230240;50800;27641;13316;9516;8192
31;205.0857137;16.53;;;335056;121914;75798;75486;71356;55020
32;487.2664439;14.51;C29H34N4O3 - C28H38O7 - C23H38N2O9;C27H36N4O3 - C26H40O7 - C21H40N2O9;325670;198251;171939;79163;42928;33748
33;277.2159322;13.28;C18H28O2 - C13H28N2O4;C16H30O2;587951;330447;104462;218886;84720;86035
34;474.2484538;8.97;C26H35NO7 - C21H35N3O9;C24H37NO7;187475;72857;56542;7135;2493;3974
35;545.2719218;17.68;C31H36N4O5 - C30H40O9 - C25H40N2O11;C29H38N4O5 - C28H42O9 - C23H42N2O11;362037;110037;80165;64483;46063;19720
36;545.2719218;13.06;C31H36N4O5 - C30H40O9 - C25H40N2O11;C29H38N4O5 - C28H42O9 - C23H42N2O11;294259;163526;135122;51136;27191;14865
37;433.2571971;20.57;C26H32N4O2 - C25H36O6 - C20H36N2O8;C24H34N4O2 - C23H38O6;294692;62035;44787;40174;27984;16896
38;498.3064041;16.54;C26H43NO8;C30H41N3O2 - C24H45NO8;332000;102700;65551;61916;42966;20060
39;463.2687403;16.38;C27H34N4O3 - C26H38O7 - C21H38N2O9;C25H36N4O3 - C24H40O7;419849;116165;88866;79505;57899;27645
40;333.2055664;16.55;C21H24N4 - C20H28O4 - C15H28N2O6;C19H26N4 - C18H30O4;276019;70272;48164;44239;29530;15808
41;474.2485733;14.15;C26H35NO7 - C21H35N3O9;C24H37NO7;238969;67336;44623;35199;22479;13756
42;551.4252319;24.53;C40H54O - C35H54N2O3 - C28H58N2O8;C38H56O - C32H56N4O2 - C31H60O6;258095;439626;408067;371227;311196;277944
43;447.2734248;19.5;C27H34N4O2 - C26H38O6 - C21H38N2O8;C25H36N4O2 - C24H40O6;270141;80113;65131;62876;40564;21219
44;301.1406326;16.19;C13H20N2O6;C11H22N2O6;259638;71060;47077;28076;27381;33900
45;313.1797638;10.99;C20H24O3;C18H26O3;167745;46148;12265;4506;5623;8034
46;429.3724085;29.45;;;162645;44906;145624;38375;53256;132370
