# Source: doi:10.1016/j.aca.2008.04.043
Mass difference;Origin
0.98402;OH ↔ NH2, e.g. de-amidiation, CHNO compounds
1.99566;F ↔ OH, halogen exchange with hydroxy group (typically -F + OH)
2.01565;± 2H, opening or forming of double bond 
4.95540;Na+↔ NH4+, salt adduct
7.00467;F ↔ CN, halogen exchange with cyano group
8.96578;Cl ↔ CN, halogen exchange with cyano group
13.97927;O ↔ 2H, e.g. Oxidation follwed by H2O elimination
14.01565;± CH2, alkane chains, waxes, fatty acids, methylation
14.01565;-[C3H6ON] ↔ -[C2H4ON], acrylamide versus iodoacetamide in cysteine alkylation (gels)
15.97394;Na+↔ K+, salt adduct
15.97716;S ↔ O, sulfur compounds
15.99492;± O, e.g. oxidation/reduction
17.02655;± NH3, ammonium adduct/neutral ammonium loss
17.02655;NH4+↔ H+, salt adduct
17.96611;Cl ↔ OH, halogen exchange with hydroxy group (typically -Cl + OH)
17.99058;F ↔ H, halogen exchange
18.01057;± H2O, water addition/loss
18.99458;CN ↔ COOH, nitrile compounds
20.92933;K+↔ NH4+, salt adduct
21.98194;Na+↔ H+, salt adduct
24.99525;CN ↔ H, nitrile compounds
27.01090;± HCN, nitrile compounds
27.99492;± CO
28.00615;- 2N, nitrogen loss, e.g. azido compounds (N2)
28.03130;± C2H4, natural alkane chains such as fatty acids
29.97418;NO2 ↔ NH2, nitro compounds
29.99799;-NO, nitroso compounds
31.97207;± S, sulfur compounds
31.98983;± 2O, oxygen loss
33.02146;- NH2OH, loss from hydroxamic acids
33.96103;Cl ↔ H, halogen exchange
33.98772;± H2S, sulfur compounds
37.95588;K+↔ H+, salt adduct
37.98916;2CN ↔ 2COOH, nitrile compounds
40.03130;+(C3H6O - H2O), acetone condensation after dehydration
42.01057;± COCH2
42.04695;± C3H6, propylation
43.00581;± CONH (wrong calc. in ref.)
43.94948;79Br ↔ Cl, halogen exchange (typically -Br +Cl)
43.98983;± CO2
45.94744;81Br ↔ Cl, halogen exchange (typically -Br +Cl)
47.96699;± SO, sulfur compounds
52.91526;79Br ↔ CN, halogen exchange with cyano group
54.91322;81Br ↔ CN, halogen exchange with cyano group
56.06260;± C4H8, butylation
58.00548;± CO2CH2
58.04187;+C3H6O, acetone condensation
61.91560;79Br ↔ OH, halogen exchange with hydroxy group (typically -Br + OH)
63.91355;81Br ↔ OH, halogen exchange with hydroxy group (typically -Br + OH)
63.96190;± SO2, sulfur compounds
63.99829;-CH3SOH, specific loss from singly oxidized methionine residues
77.91051;79Br ↔ H, halogen exchange
79.90847;81Br ↔ H, halogen exchange
79.95682;± SO3, sulfur compounds
91.93562;I ↔ Cl, halogen exchange (typically -I +Cl)
97.96738;± H2SO4, sulfur compounds
97.97690;± H3PO4, phosphorous compounds
100.90140;I ↔ CN, halogen exchange with cyano group
109.90173;I ↔ OH, halogen exchange with hydroxy group (typically -I + OH)
125.89665;I ↔ H, halogen exchange
146.05791;± [Deoxy-Hexose-H2O, C6O4H10], e.g. Fucose
162.05283;± [Hexose-H2O, C6O5H10], e.g. Glucose, Galactose, Mannose, Fructose
164.06848;± [Deoxy-Hexose-H2O, C6O5H12], e.g. Fucose
176.03209;± [Glucuronic acid-H2O, C6O6H8] 
180.06339;± [Hexose, C6O6H12], e.g. Glucose, Galactose, Mannose, Fructose
194.04266;± [Glucuronic acid, C6O7H10] 
203.07937;± [HexNAc-H2O, C8O5NH13], N-acetylhexoseamine
206.05791;+ sinapic acid - H2O, (C11H12O5-H2O), MALDI-matrix for proteins, possible photo- or condensation adduct
221.08994;± [HexNAc, C8O6NH15], N-acetylhexoseamine
289.07324;± [Glutathione-H2O, C10O5N3SH15] 
291.09542;± [Neu5Ac-H2O, C11O8NH17], N-acetylneuraminic acid, sialic acid, NANA
305.06816;± [Glutathione+O-H2O, C10O6N3SH15] 
307.08381;± [Glutathione, C10O6N3SH17] 
309.10598;± [Neu5Ac, C11O9NH19], N-acetylneuraminic acid, sialic acid, NANA
324.10565;± [Sucrose-H2O, C12O10H20] 
342.11622;± [Sucrose, C12O11H22] 
484.17101;+Tetraphenyl-tetramethyl-trisiloxane, (C28H32O2Si3), ( from silicon-based diffusion pump oil (DC7040, Dow corning)
546.18666;+Pentaphenyl-trimethyl-trisiloxane, (C33H34O2Si3), ( from silicon-based diffusion pump oil (DC7050, Dow corning)
